中國地區
溫哥華,VANCOUVER,YVR
多倫多,TORONTO,YYZ
渥太華,OTTAWA,YOW
蒙特婁,MONTREAL,YMQ
溫尼伯,WINNIPEG,YMG
卡加立,CALGARY,YYC
愛德頓,EDMONTON,YEA
干達,GANDER,YQX
哈立法克斯,HALIFAX,YHZ
中東及非洲地區
開羅,CAIRO,CAI
開普敦,CAPETOWN,CPT
貝魯特,BEIRUT,BEY
台拉維夫,TEL AVIV,TLV
大馬士革,DANASCUS,DAM
安曼,AMMAN,AMM
吉達,JEDDAH,JED
巴林,BAHRAIN,BAH
約翰尼斯堡,JOHAN NFABURG,JNB
金夏沙,KINSHASA,FIA
馬爾他,MALTA,MLA
突尼斯,TUNIS,TUN
達卡,DAKAR,DKR
班基,BAN-GUI,BGF
布拉薩市,BRAXXABILLE,BZV
模里西斯,MAURITIUS,MRU
杜拜,DUBAI,DXB
科威特,KUWAIT,KWI
巴格達,BAGHDAD,BGW
德黑蘭,TEHRAN,THR
地黎波斯,TRIPOLI,TIP
阿爾吉爾,ALGIERS,ALG
卡薩馬達卡,CASABLANCA,CAS
拉斯馬巴斯,LASPALMAS,LPA
科那克里,CONAKRY,CKY
自由城,FREETOWN,FNA
巴馬科,BAMAKO,BKO
阿必尚,ABIDJAN,ABJ
蒙羅維亞,MONROVIA,MLW
尼阿美,NIAMEY,NIM
阿克拉,ACCRA,ACC
瓦加杜古,OUAGADOUGOU,OUA
拉米堡,FORT LAMY,FTL
亞恩德,YAOUNDE,YAO
科多努,COTONOU,COO
拉哥斯,LAGOS,LOS
自由府,LIBREVILLE,LVB
盧安達,LUAN DA,LAD
溫黎克,WINDHOEK,WDH
卡吐穆,KHARTOUM,KRT
伊斯坦堡,ISTANBUL,IST
安卡拉,ANKARA,ANK
亞丁,ADEN,ADE
馬斯開特,MUSCAT,MCT
阿巴具,ABADAN,ABD
塔那那次棉,TANANARIVE,TNR
愛丁堡,EDINBURGH,EDI
洛梅,LOME,LFW
馬基魯,MASERU,MSU
馬基尼,MANZINI,MTS
杜哈,DOHA,DOH
達蘭,DHAHRAN,DHA
利雅德,RIYADH,RUH
里郎威,LILONGWE,LLW
恩將納,N'DJAMENA,NDJ
達來撤蘭,DAR ES SALAAM,DAR
露沙卡,LUSAKA,LUN
摩加迪修,MOGADISHU,MGO
恩特比/坎帕拉,ENTEBBE/KAMPALA,EBB
阿迪斯阿魯巴,ADDIS ABABA,ADD
奈洛彼,NAIROBI,NBO
布蘭太,BLANTYRE,BLZ
魯倫素馬凱斯,LOURENCO MAROUES,LUM
索斯伯里,SALISBURY,SAY
大洋洲地區
達爾文,DARWIN,DRW
伯斯,PERTH,PER
