,399,N,0000,2229,110,115
,399,N,0000,0000,110,120
,399,N,0000,2302,110,125
,399,N,0000,2326,110,130
,399,N,0000,2345,110,135
,399,N,0000,2359,110,140
,399,N,0000,2302,120,125
,399,N,0000,2326,120,130
,399,N,0000,2345,120,135
,399,N,0000,2359,120,140
,399,C,0000,2229,110,115
,399,C,0000,0000,110,120
,399,C,0000,2302,110,125
,399,C,0000,2326,110,130
,399,C,0000,2345,110,135
,399,C,0000,2359,110,140
,399,C,0000,2302,120,125
,399,C,0000,2326,120,130
,399,C,0000,2345,120,135
,399,C,0000,2359,120,140
